  gen    gen_best_fitness       variable0       variable1
    0             0.97910        2.65192       -1.46891
    1             0.97965        2.65497       -1.46891
    2             0.98354        2.65192       -1.51774
    3             0.99013        1.96646        2.46208
    4             0.99014        1.96569        2.46208
    5             0.99014        1.96569        2.46208
    6             0.98855        2.88401       -1.12711
    7             0.97353       -1.05546        2.81626
    8             0.98398        0.07590        0.10163
    9             0.98394        0.07618        0.10163
   10             0.97091        3.04224       -1.22477
   11             0.98107        0.98288        3.08268
   12             0.99026        1.40360        2.80197
   13             0.99026        1.40360        2.80197
   14             0.99026        1.40360        2.80197
   15             0.98938       -1.82527       -2.51575
   16             0.99027        0.97683        2.97859
   17             0.99028        0.97683        2.98012
   18             0.98950        1.40378        2.83870
   19             0.98950        1.40378        2.83870
   20             0.98950        1.40378        2.83870
   21             0.98946        1.40378        2.83947
   22             0.98741        3.07584        0.22868
   23             0.98741        3.07584        0.22868
   24             0.99025        2.97819        1.00993
   25             0.99025        3.12467        0.22868
   26             0.99016        2.47793       -1.94418
   27             0.99000       -0.09083       -3.15424
   28             0.98998       -1.32946        2.82350
   29             0.99544       -0.06448        0.02021
   30             0.99544       -0.06447        0.02021
   31             0.99028       -3.12992        0.21552
   32             0.99028       -3.12992        0.21400
   33             0.99028       -2.98948       -0.95444
   34             0.99028       -2.98948       -0.95444
   35             0.99020        1.11801        2.94246
   36             0.99609        0.04507       -0.04340
   37             0.99609        0.04507       -0.04340
   38             0.99005       -2.42195       -1.97167
   39             0.99028        2.98956        0.95983
   40             0.98911        0.92109        3.03644
   41             0.99028        2.98956        0.95992
   42             0.99028        2.98956        0.95992
   43             0.99028        0.39984       -3.11276
   44             0.99028        0.39984       -3.11278
   45             0.99500       -0.03579        0.06101
   46             0.99500       -0.03579        0.06101
   47             0.99026       -2.54416        1.84687
   48             0.99821       -0.02140        0.03653
   49             0.99028       -2.42230       -1.99684
   50             0.99613        0.03707        0.04997
   51             0.99028       -1.44918        2.78576
   52             0.99022       -1.06121        2.96200
   53             0.99028       -1.13781        2.92345
   54             0.99023       -1.06083        2.96200
   55             0.99467       -0.04692       -0.05600
   56             0.99028        1.35133        2.83377
   57             0.99028        1.35133        2.83377
   58             0.99025       -1.01201        2.96501
   59             0.99026       -1.01277        2.96510
   60             0.99027       -0.38288        3.11129
   61             0.99134        0.04784       -0.07993
   62             0.99868       -0.03127       -0.01844
   63             0.99148        0.04632       -0.07993
   64             0.99148        0.04632       -0.07993
   65             0.99025        1.41308        2.79597
   66             0.99028       -0.47630       -3.10422
   67             0.99028       -0.47630       -3.10422
   68             0.99028       -0.60953        3.07892
   69             0.99027       -1.09767        2.94372
   70             0.99028       -0.96281        2.98670
   71             0.99028       -0.96149        2.98670
   72             0.99028       -1.09462        2.94372
   73             0.99028        1.26195        2.87114
   74             0.99023       -0.67041        3.07343
   75             0.99025       -1.21984        2.88513
   76             0.99025       -0.71924        3.04901
   77             0.99028       -0.34040        3.12010
   78             0.99027        1.21003        2.89963
   79             0.99027        1.21003        2.89963
   80             0.99512       -0.05991        0.03599
   81             0.99513       -0.05991        0.03590
   82             0.99028        1.45494        2.78203
   83             0.99027       -0.56059        3.08431
   84             0.99028        1.82025        2.55963
   85             0.99028        1.82024        2.55963
   86             0.99028       -0.95543        2.98997
   87             0.99028       -1.37699        2.81773
   88             0.99028       -1.85624        2.53012
   89             0.99028       -1.85624        2.53013
   90             0.99028        1.77432        2.58757
   91             0.99028       -2.15001        2.28795
   92             0.99028       -2.15001        2.28790
   93             0.99028       -2.93645       -1.11331
   94             0.99028        1.45562        2.78292
