  gen    gen_best_fitness       variable0       variable1
    0             0.92024        5.61771        7.50294
    1             0.96277       -6.27594       -0.17529
    2             0.91594        8.03089       -4.75445
    3             0.91752        5.57060        7.50294
    4             0.92165        4.71439       -8.16669
    5             0.92165        4.71439       -8.16669
    6             0.96274       -6.24580        0.56419
    7             0.98139        2.58465        1.94359
    8             0.98986        2.58198       -1.74732
    9             0.98726        3.01533       -0.64201
   10             0.98252        2.38934        1.89476
   11             0.98249        2.38914        1.89476
   12             0.96269        5.96828       -1.91326
   13             0.96276        6.25095        0.61264
   14             0.96276        6.25095        0.61264
   15             0.96276        6.25095        0.61264
   16             0.96988        2.70672       -1.85833
   17             0.96368        2.95105       -0.36221
   18             0.99025        3.11146       -0.36221
   19             0.98574        3.05042       -0.35000
   20             0.97783        3.23124       -0.36182
   21             0.99012        3.08380        0.65022
   22             0.99026        3.09658        0.53921
   23             0.99026        3.09658        0.53921
   24             0.99026        3.09658        0.53921
   25             0.99024        3.09658        0.55141
   26             0.99024        3.09658        0.55141
   27             0.99026        3.08437        0.55141
   28             0.98702        3.05080        0.42915
   29             0.99012        0.89340       -3.02219
   30             0.98943        1.56536        2.68612
   31             0.98902       -2.55756       -1.75648
   32             0.98902       -2.55756       -1.75648
   33             0.98902       -2.55756       -1.75648
   34             0.98893       -2.64568       -1.75648
   35             0.98894       -2.64549       -1.75648
   36             0.98894       -2.64549       -1.75648
   37             0.98985        3.02773        0.74234
   38             0.98986        3.02792        0.74234
   39             0.98987        3.02792        0.74425
   40             0.98993        3.02944        0.74425
   41             0.98993        3.02944        0.74425
   42             0.99018        3.03860        0.74425
   43             0.99018        3.03860        0.74425
   44             0.99028        2.67200       -1.64948
   45             0.98973       -3.13110        0.44231
   46             0.98891        3.03822       -0.62141
   47             0.98891        3.03822       -0.62141
   48             0.98662        2.26879       -2.25620
   49             0.98945       -3.12996       -0.48771
   50             0.98991       -0.68455        3.08285
   51             0.99022       -3.11680       -0.29011
   52             0.99022       -3.11680       -0.29011
   53             0.99022       -3.11680       -0.29049
   54             0.99028       -2.63786       -1.69563
   55             0.99028        3.13206       -0.18692
   56             0.99028        2.77939       -1.46122
   57             0.99028       -1.86157       -2.52476
   58             0.99024       -1.85776       -2.52171
   59             0.99006        2.54402       -1.81198
   60             0.99027        2.54002        1.84994
   61             0.99028       -2.22626       -2.21119
   62             0.99028       -2.22626       -2.21119
   63             0.99027        2.05479       -2.36740
   64             0.99028       -3.13931        0.03357
   65             0.99027        2.05479       -2.36740
   66             0.99024        2.41528        1.99413
   67             0.99028        2.41528        2.00024
   68             0.99028       -2.15340       -2.28519
   69             0.99028        0.28400        3.12290
   70             0.99028        0.28400        3.12290
   71             0.99028        0.28419        3.12290
   72             0.99028        0.28095        3.12290
   73             0.99028        0.28095        3.12328
   74             0.99028        1.71852        2.62909
   75             0.99489       -0.07038        0.01259
   76             0.99028        1.71852        2.62928
   77             0.99919       -0.02651       -0.01011
   78             0.99019        2.74830       -1.49536
   79             0.99026       -2.66018        1.65672
   80             0.99026       -2.66018        1.65672
   81             0.99026       -2.66018        1.65672
   82             0.99028       -1.75381        2.60048
   83             0.99028       -1.75381        2.60048
   84             0.99027       -2.36073       -2.06146
   85             0.99028       -3.11699        0.38910
   86             0.99028       -3.11699        0.38910
   87             0.99028       -3.11699        0.38910
   88             0.99028        1.54629       -2.72961
   89             0.99028        1.54629       -2.72961
   90             0.99028       -2.76031        1.49593
   91             0.99028        1.54610       -2.72961
   92             0.99027       -0.07820       -0.06027
   93             0.99028        1.49784        2.75974
   94             0.99025        1.56136       -2.72961
   95             0.99027       -3.10650        0.47665
   96             0.99028        3.11127       -0.43316
   97             0.99027       -3.10574        0.47665
   98             0.99025        1.87454       -2.52419
   99             0.99026       -1.80550       -2.57320
  100             0.99024        0.46482       -3.09734
  101             0.99024        1.93787       -2.45991
  102             0.99025       -0.53444       -3.09887
  103             0.99027        2.46220       -1.94111
  104             0.99028        1.72215       -2.62394
  105             0.99028        1.72215       -2.62394
  106             0.99027       -0.84953       -3.02563
  107             0.99027       -0.84953       -3.02563
  108             0.99027       -2.53582       -1.85566
  109             0.99028       -2.52972       -1.85566
  110             0.99028        1.17264       -2.91271
  111             0.99028        1.17264       -2.91271
  112             0.99028        1.17264       -2.91271
  113             0.99028        1.17264       -2.91271
  114             0.99006        1.32275       -2.82936
  115             0.99024        3.02105       -0.87528
  116             0.99028       -1.04389       -2.96268
  117             0.99028        2.39868        2.02179
  118             0.99028        2.39868        2.02179
  119             0.99028       -2.53258       -1.85719
  120             0.99077        0.01392       -0.09518
  121             0.99023       -2.68059       -1.61819
  122             0.99028        0.46768       -3.10421
  123             0.99028        3.04642       -0.76389
  124             0.99028       -2.77328       -1.47076
  125             0.99028        3.04070       -0.76694
  126             0.99028        3.12347       -0.30346
  127             0.99028        3.04222       -0.76694
  128             0.99028        2.78797       -1.44520
  129             0.99028        2.59342       -1.76506
  130             0.99028        2.59953       -1.76201
  131             0.99028        2.59380       -1.76506
  132             0.99028        1.43433       -2.79121
  133             0.99028        1.43642       -2.79121
  134             0.99028        1.43642       -2.79121
  135             0.99028        1.43642       -2.79121
  136             0.99028        1.03436       -2.96288
  137             0.99028        1.03436       -2.96288
  138             0.99028        1.03436       -2.96288
  139             0.99028        2.24113       -2.19669
  140             0.99026        2.41013        2.00329
  141             0.99028        2.17819       -2.25830
  142             0.99023        2.31667       -2.10667
  143             0.99027        0.58517       -3.07980
  144             0.99028        2.67448       -5.53627
  145             0.99027        2.05803       -2.37503
  146             0.99026        2.05765       -2.37579
  147             0.99028        2.99702        0.93575
  148             0.99028        0.60616       -3.07922
  149             0.99028        0.60616       -3.07922
  150             0.99028        1.27010       -2.87323
  151             0.99028        1.27010       -2.87323
  152             0.99027        1.27068       -2.87323
  153             0.99022        2.01817       -2.39334
  154             0.99028        1.09901       -2.93865
  155             0.99028        2.65732       -1.66779
  156             0.99028        2.29530       -2.14310
  157             0.99028        1.73588       -2.61612
  158             0.99028        1.73588       -2.61612
  159             0.99028        1.95732       -2.45438
  160             0.99028        1.95732       -2.45438
  161             0.99028        1.95732       -2.45399
  162             0.99026        1.85318       -2.53925
  163             0.99028        2.23637       -2.20051
  164             0.99026        1.85318       -2.53925
  165             0.99028        2.28233       -2.15664
  166             0.99028        2.18029       -2.26021
  167             0.99028        2.17953       -2.26021
  168             0.99028        2.18029       -2.26021
  169             0.99028        2.18029       -2.26021
  170             0.99028        2.10457       -2.33135
  171             0.99028        3.10631       -0.43850
  172             0.99028        3.10631       -0.43850
  173             0.99028        2.10457       -2.33059
  174             0.99028        1.07861       -2.94724
  175             0.99028        0.31776       -3.12443
  176             0.99028        0.31776       -3.12366
  177             0.99028        2.77519       -1.46065
  178             0.99028        0.65002       -3.07217
  179             0.99028        0.65002       -3.07217
  180             0.99028        3.05595       -0.71449
  181             0.99028        2.96402       -1.03436
  182             0.99028        2.56672       -1.80511
  183             0.99028        2.96402       -1.03436
  184             0.99028        2.96402       -1.03436
  185             0.99028        2.96402       -1.03436
  186             0.99027        1.49536       -2.75574
  187             0.99028        0.57259       -3.08380
  188             0.99027        1.49536       -2.75574
  189             0.99028        1.98689       -2.43053
  190             0.99028        0.87986       -3.00999
  191             0.99028        1.98689       -2.43053
  192             0.99028        1.51272       -2.74963
  193             0.99028        2.14195       -2.29378
  194             0.99028        2.14195       -2.29378
  195             0.99028        1.51310       -2.74963
  196             0.99028        1.51310       -2.74963
  197             0.99028        1.51310       -2.74963
  198             0.99028        2.04296       -2.38285
  199             0.99028        2.04296       -2.38285

the best
   77             0.99919       -0.02651       -0.01011
